Pasisveikinimas,Sveiki,Hello,
PinVedimas,Iveskite PIN koda,Please enter PIN code,
BlogasSlaptazodis,Ivedete klaidinga slaptazodi.,You have entered wrong password,
Liko,Liko,Left,
Bandymai,bandymai,tries,
KeistiKalba,Keisti kalba,Change language,
KeistiSlaptazodi,Keisti slaptazodi,Change password,
SaskaitosLikutis,Saskaitos likutis,Bank balance,
SaskaitosIsrasas,Saskaitos israsas,Balance info,
InestiPinigu,Inesti pinigu,Deposit cash,
PasiimtiPinigu,Pasiimti pinigu,Withdraw cash,
BaigtiDarba,Baigti darba,End work,
DabartinioSlaptazodzioIvedimas,Iveskite dabartini slaptazodi,Enter current password,
IveskiteNaujaSlaptazodi,Iveskite nauja slaptazodi,Please enter new password,
SlaptazodisPakeistas,Slaptazodis sekmingai pakeistas,Password changed succesfully,
NeteisingasDabartinisSlaptazodis,Ivedete neteisinga slaptazodi. Bandykite dar karta.,You have entered wrong password. Try again.,
PerziuretiBalansa,Pinigu balansas: ,Money balance: ,
PiniguInesimas,Idekite pinigus i bankomata. Kiek idejote?,Deposit cash to ATM. How much You have deposited?,
PinigaiInesti,Sekmingai inesete pinigus:,You have succesfully deposited:,
PiniguNusiemimas,Kiek pinigu norite nusiimti?,How much cash would You like to withdraw?,
PinigaiNuimti,Sekmingai nusiemete pinigus:,You have succesfully withdraw:,
NepakankamasLikutis,Nepakankamas pinigu likutis,Insufficient funds,
Inesimas,Inesimas,Deposit,
Isemimas,Isemimas,Withdraw,
PaspaudimasIseiti,Paspauskite betkoki mygtukas noredami grizti, Press any button to quit,
